Customer_Name,Address,Bill_ID,Billing_Month,Area,Feeder_Type,Loadshedding_Hours_Per_Day,Units_Billed_kWh,Units_Consumed_kWh,Bill_Amount_PKR,Bill_Payment_Status,Electricity_Theft_Suspected
Yasmin Marri,"House #144, Block #15, Manwabad Nawabshah",KE-MWN-202507-0153,2025-07,Manwabad Nawabshah,Semi-Urban Feeder,7.0,49.9,49.6,1620,Unpaid,No
Rabia Soomro,"House #394, Mohalla #11, Society Colony Nawabshah",KE-SCN-202503-0132,2025-03,Society Colony Nawabshah,Urban Residential Feeder,3.3,101.2,102.9,2940,Paid,No
Amna Sheikh,"House #230, Block #36, Manwabad Nawabshah",KE-MWN-202410-0106,2024-10,Manwabad Nawabshah,Semi-Urban Feeder,6.9,80.5,82.2,2800,Partially Paid,No
Zainab Rajput,"House #107, Lane #24, Farsi Bagh Nawabshah",KE-FBN-202402-0070,2024-02,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.8,124.8,128.8,3760,Paid,No
Bushra Bhurgri,"House #59, Chowk #43, Manwabad Nawabshah",KE-MWN-202407-0091,2024-07,Manwabad Nawabshah,Semi-Urban Feeder,9.4,62.7,64.5,2060,Paid,No
Saleem Shah,"House #422, Gali #1, Farsi Bagh Nawabshah",KE-FBN-202301-0003,2023-01,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.4,88.0,85.6,2790,Paid,No
Maryam Bhurgri,"House #344, Chowk #5, Society Colony Nawabshah",KE-SCN-202502-0130,2025-02,Society Colony Nawabshah,Urban Residential Feeder,2.3,139.7,142.6,4140,Unpaid,No
Bushra Mahar,"House #157, Road #43, Society Colony Nawabshah",KE-SCN-202409-0101,2024-09,Society Colony Nawabshah,Urban Residential Feeder,5.9,135.7,137.6,4150,Paid,No
Farhan Memon,"House #363, Mohalla #34, University Colony Nawabshah",KE-UCN-202302-0010,2023-02,University Colony Nawabshah,Urban Residential Feeder,4.8,120.4,123.6,3780,Paid,No
Noman Chandio,"House #320, Mohalla #46, Farsi Bagh Nawabshah",KE-FBN-202405-0081,2024-05,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.9,132.5,133.2,4000,Paid,No
Shahzad Pathan,"House #411, Block #27, University Colony Nawabshah",KE-UCN-202407-0091,2024-07,University Colony Nawabshah,Urban Residential Feeder,7.9,111.2,116.5,3390,Paid,No
Robina Junejo,"House #13, Mohalla #35, Farsi Bagh Nawabshah",KE-FBN-202404-0079,2024-04,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.2,166.4,164.2,5370,Paid,No
Bilal Jatoi,"House #170, Mohalla #13, Society Colony Nawabshah",KE-SCN-202406-0090,2024-06,Society Colony Nawabshah,Urban Residential Feeder,4.0,89.8,87.8,2700,Paid,No
Amna Rajput,"House #228, Block #34, Farsi Bagh Nawabshah",KE-FBN-202406-0089,2024-06,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.9,75.7,73.6,2280,Paid,No
Shazia Abbasi,"House #150, Road #27, Farsi Bagh Nawabshah",KE-FBN-202506-0150,2025-06,Farsi Bagh Nawabshah,Urban Commercial Feeder,5.5,94.5,94.2,3130,Paid,No
Junaid Jamali,"House #59, Mohalla #10, Manwabad Nawabshah",KE-MWN-202508-0157,2025-08,Manwabad Nawabshah,Semi-Urban Feeder,6.6,72.0,71.2,2100,Partially Paid,No
Samina Solangi,"House #282, Lane #27, Manwabad Nawabshah",KE-MWN-202408-0099,2024-08,Manwabad Nawabshah,Semi-Urban Feeder,6.0,59.3,60.9,1830,Paid,No
Bilal Malik,"House #103, Street #39, Isharpura Nawabshah",KE-ISN-202412-0116,2024-12,Isharpura Nawabshah,Rural Feeder,5.6,46.2,67.1,1450,Unpaid,Yes
Asma Panhwar,"House #166, Gali #31, Manwabad Nawabshah",KE-MWN-202402-0069,2024-02,Manwabad Nawabshah,Semi-Urban Feeder,4.1,54.3,55.7,1690,Paid,No
